,Keyword,Frequency
0,Deep learning,4
1,Neural network,2
2,Computational fluid dynamics,2
3,Tropical cyclone,2
4,Turbulence,2
5,Object detection,2
6,Supercomputer,2
7,Graphics processing unit,2
8,Scalability,2
9,National Energy Research Scientific Computing Center,2
10,Scientific method,2
11,Artificial intelligence,2
12,Brand,1
13,Image segmentation,1
14,List of sensors,1
15,Synthetic-aperture radar,1
16,Edge case,1
17,Extreme environment,1
18,Process capability,1
19,Silent Generation,1
20,Proximity sensor,1
21,Rheology,1
22,DC-to-DC converter,1
23,Fluid bearing,1
24,Deep Instinct,1
25,Human,1
26,Mars atmospheric entry,1
27,Landslide,1
28,Wireless sensor network,1
29,Pulmonary alveolar microlithiasis,1
30,Solar observatory,1
31,Cable railings,1
32,Digital elevation model,1
33,Data curation,1
34,Health professional,1
35,Unity (game engine),1
36,Graph coloring,1
37,GraphBLAS,1
38,A* search algorithm,1
39,Bar chart,1
40,Leadership in Energy and Environmental Design,1
41,Magic SysRq key,1
42,Signal-flow graph,1
43,Balancing Act,1
44,Sensor,1
45,Sensor array,1
46,Signal processing,1
47,Singular value decomposition,1
48,Memory,1
49,Operating system,1
50,Shared memory,1
51,Architecture,1
52,Code refactoring,1
53,Convolutional neural network,1
54,Hypocenter,1
55,Solar irradiance,1
56,Jitsi,1
57,Open source,1
58,TOP500,1
59,GrabCAD,1
60,IBM Power Systems,1
61,Project Jupyter,1
62,Scientist,1
63,Charm++,1
64,Molecular dynamics,1
65,Outline of physical science,1
66,Simple Lie group,1
67,Numeric keypad,1
68,New Classical architecture,1
69,Atomic bombings of Hiroshima and Nagasaki,1
70,Memory management,1
71,Material,1
72,Molecular mass,1
73,Binary explosive,1
74,Sandia National Laboratories,1
75,National Energy Technology Laboratory,1
76,Fromage,1
77,Geometric median,1
78,Path loss,1
79,Earth observation satellite,1
80,General circulation model,1
81,Weather forecasting,1
82,Energy based model,1
83,Generative adversarial network,1
84,Graph Fourier Transform,1
85,Semi-supervised learning,1
86,Advantage gambling,1
87,Load balancing (computing),1
88,Parallel computing,1
89,Turing completeness,1
90,3D reconstruction,1
91,Consideration,1
92,Program optimization,1
93,Safety of high-energy particle collision experiments,1
94,AI accelerator,1
95,Direct method (education),1
96,Hardware register,1
97,Earth System Modeling Framework,1
98,Porting,1
99,Tofa?,1
100,Wind wave model,1
101,Production system,1
102,Windows HPC Server 2008,1
103,Rapid intensification,1
104,SaffirSimpson scale,1
105,Chemical substance,1
106,Kevin Systrom,1
107,Technique,1
108,Matrix multiplication,1
109,Real-time,1
110,Directive (programming),1
111,Inventory optimization,1
112,Shadow volume,1
113,MP,1
114,Computer vision,1
115,List of programming languages for artificial intelligence,1
116,Big data,1
117,Utah Data Center,1
118,Automatic parallelization,1
119,Bigg Boss (Hindi season 14),1
120,Scheduling (computing),1
121,Availability heuristic,1
122,Task parallelism,1
123,Task-based language learning,1
124,Embryo Ranking Intelligent Classification Algorithm,1
125,Yann LeCun,1
126,Coupling constant,1
127,Reduced form,1
128,Heterogeneous System Architecture,1
129,National Renewable Energy Laboratory,1
130,Real-time computing,1
